kanji,readings,meaning
桜,さくら,"Sakura, Cherry Tree, Cherry Blossom"
永,えい,Eternity
液,えき,"Fluid, Liquid"
眼,がん,Eyeball
祖,そ,Ancestor
績,せき,Exploits
興,きょう,Interest
衛,えい,Defense
複,ふく,Duplicate
雑,ざつ,"Random, Miscellaneous"
賛,さん,Agree
酸,さん,Acid
銭,せん,Coin
飼,か,Domesticate
傷,しょう,Wound
党,とう,"Party, Group"
卵,たまご,Egg
厳,げん,Strict
捨,す,Throw Away
込,こ,"Into, Included"
密,みつ,Secrecy
汚,お,Dirty
欲,よく,Want
暖,だん,Warm
机,つくえ,Desk
秘,ひ,Secret
訳,やく,"Translation, Reason"
染,せん,Dye
簡,かん,Simplicity
閉,へい,"Closed, Close, Closure"
誌,し,Magazine
窓,まど,Window
否,ひ,No
筋,きん,"Muscle, Tendon"
垂,すい,"Dangle, Drip"
宝,ほう,Treasure
宣,せん,Proclaim
尊,そん,Revered
忠,ちゅう,Loyalty
拡,かく,Extend
操,そう,"Manipulate, Chastity"
敬,けい,Respect
暮,ぼ,Livelihood
灰,はい,"Ash, Ashes"
熟,じゅく,Ripen
異,い,Differ
皇,こう,Emperor
盛,せい,"Pile, Prosperous, Heap"
砂,さ,Sand
漠,ばく,"Desert, Vague"
糖,とう,Sugar
